n02085620_10074,25,10,276,498,Chihuahua
n02085620_10131,49,9,393,493,Chihuahua
n02085620_10621,142,43,335,250,Chihuahua
n02085620_1073,0,27,312,498,Chihuahua
n02085620_10976,90,104,242,452,Chihuahua
n02085620_11140,17,38,451,253,Chihuahua
n02085620_11238,39,191,145,383,Chihuahua
n02085620_11258,76,30,363,375,Chihuahua
n02085620_11337,59,37,229,179,Chihuahua
n02085620_11477,317,95,558,459,Chihuahua
n02085620_1152,3,81,156,225,Chihuahua
n02085620_1152,147,65,323,324,Chihuahua
n02085620_1152,391,111,437,167,Chihuahua
n02085620_11696,211,0,696,516,Chihuahua
n02085620_11818,121,90,302,343,Chihuahua
n02085620_11948,0,16,461,436,Chihuahua
n02085620_1205,146,0,350,239,Chihuahua
n02085620_12101,5,4,350,252,Chihuahua
n02085620_12334,159,186,250,330,Chihuahua
n02085620_1235,194,111,275,299,Chihuahua
n02085620_1271,19,3,324,350,Chihuahua
n02085620_12718,26,42,304,487,Chihuahua
n02085620_1298,151,94,438,230,Chihuahua
n02085620_13151,176,29,379,333,Chihuahua
n02085620_1321,111,42,248,314,Chihuahua
n02085620_13383,156,242,334,498,Chihuahua
n02085620_1346,1,8,432,316,Chihuahua
n02085620_13964,96,133,373,495,Chihuahua
n02085620_14252,166,110,346,248,Chihuahua
n02085620_14413,142,123,546,850,Chihuahua
n02085620_14516,51,2,487,478,Chihuahua
n02085620_1455,60,153,331,498,Chihuahua
n02085620_1492,58,143,190,332,Chihuahua
n02085620_1502,51,13,418,331,Chihuahua
n02085620_1558,0,6,327,493,Chihuahua
n02085620_1569,24,10,277,273,Chihuahua
n02085620_1617,2,6,356,237,Chihuahua
n02085620_1620,25,0,465,374,Chihuahua
n02085620_1765,55,85,327,437,Chihuahua
n02085620_1816,0,14,225,325,Chihuahua
n02085620_1862,152,107,228,247,Chihuahua
n02085620_1916,8,7,456,397,Chihuahua
n02085620_199,65,50,249,404,Chihuahua
n02085620_2053,176,73,441,366,Chihuahua
n02085620_2188,46,98,327,498,Chihuahua
n02085620_2204,267,76,350,223,Chihuahua
n02085620_2204,189,107,263,212,Chihuahua
n02085620_2208,178,144,231,249,Chihuahua
n02085620_242,113,45,368,486,Chihuahua
n02085620_2479,40,16,260,239,Chihuahua
n02085620_2507,79,35,324,322,Chihuahua
n02085620_2517,125,26,372,314,Chihuahua
n02085620_2590,201,88,417,239,Chihuahua
n02085620_2614,123,2,305,374,Chihuahua
n02085620_2650,108,87,405,303,Chihuahua
n02085620_2693,188,140,325,307,Chihuahua
n02085620_2706,105,39,229,217,Chihuahua
n02085620_275,179,53,326,191,Chihuahua
n02085620_2793,23,0,351,287,Chihuahua
n02085620_2815,60,6,495,597,Chihuahua
n02085620_2887,16,23,289,355,Chihuahua
n02085620_2903,210,57,468,332,Chihuahua
n02085620_2921,30,15,202,224,Chihuahua
n02085620_2937,121,28,256,192,Chihuahua
n02085620_2973,71,78,320,450,Chihuahua
n02085620_2981,399,314,562,525,Chihuahua
n02085620_3006,86,42,356,492,Chihuahua
n02085620_3033,164,137,456,335,Chihuahua
n02085620_3045,101,106,318,343,Chihuahua
n02085620_3093,155,183,320,427,Chihuahua
n02085620_3110,98,32,285,258,Chihuahua
